Nome,Embalagens_Sustentaveis,Reducao_Desperdicio,Fornecedores_Locais,Emprego_Justo,Envolvimento_Comunitario,Produtos_Saudaveis,Transparencia_Negocios,Cumprimento_Regulamentacao,Etica_Relacionamentos,Conformidade_ESG
FoodTruck223,1,1,1,1,0,0,1,1,1,0
FoodTruck224,1,0,0,1,1,0,0,1,0,0
FoodTruck225,0,1,0,1,1,0,1,0,0,0
FoodTruck226,0,1,0,0,0,1,1,1,0,0
FoodTruck227,0,0,1,0,0,0,1,1,0,0
FoodTruck228,1,1,0,0,0,1,1,0,0,0
FoodTruck229,0,0,1,1,1,0,1,0,0,0
FoodTruck230,1,1,0,1,0,1,0,1,0,0
FoodTruck231,0,0,1,0,0,1,0,1,1,0
FoodTruck232,1,1,0,0,1,0,1,0,0,0
FoodTruck233,1,1,1,1,0,1,1,0,1,0
FoodTruck234,0,0,1,0,0,1,0,1,0,0
FoodTruck235,1,1,0,0,0,1,1,0,0,0
FoodTruck236,1,1,1,0,0,0,0,1,0,0
FoodTruck237,0,0,0,1,0,0,0,0,1,0
FoodTruck238,1,1,1,0,0,0,1,1,1,0
FoodTruck239,0,0,0,1,1,0,0,1,0,0
FoodTruck240,0,1,1,1,1,1,1,1,0,0
FoodTruck241,1,0,0,0,1,1,0,0,0,0
FoodTruck242,0,0,1,0,1,0,0,0,1,0
FoodTruck243,0,0,1,1,0,0,1,0,1,0
FoodTruck244,1,1,1,1,1,0,0,1,1,0
FoodTruck245,0,0,1,1,1,1,0,1,1,0
FoodTruck246,1,1,1,0,0,1,1,0,0,0
FoodTruck247,0,1,0,1,1,1,0,0,0,0
FoodTruck248,1,0,0,1,1,1,0,0,1,0
FoodTruck249,0,1,0,1,0,1,1,0,0,0
FoodTruck250,1,1,1,0,1,0,0,0,1,0
FoodTruck251,1,1,0,1,0,0,1,1,0,0
FoodTruck252,1,1,0,1,1,1,0,0,0,0
FoodTruck253,0,0,0,0,1,1,1,1,1,0
FoodTruck254,0,1,0,1,0,1,0,1,0,0
FoodTruck255,0,0,0,0,1,1,0,0,1,0
FoodTruck256,1,0,1,0,0,0,1,1,1,0
FoodTruck257,1,1,0,0,0,0,0,0,0,0
FoodTruck258,1,0,1,1,0,1,1,1,1,0
FoodTruck259,1,1,1,0,1,0,0,0,1,0
FoodTruck260,0,1,1,1,1,1,1,1,1,0
FoodTruck261,0,1,1,1,0,1,1,0,1,0
FoodTruck262,0,1,0,0,1,0,1,0,1,0
FoodTruck263,0,0,1,0,0,1,1,1,0,0
FoodTruck264,1,1,1,1,1,1,1,1,0,0
FoodTruck265,0,0,1,0,1,1,0,0,1,0
FoodTruck266,0,0,1,0,0,0,0,1,1,0
FoodTruck267,1,1,0,0,0,1,1,0,1,0
FoodTruck268,0,1,1,1,0,1,0,0,1,0
FoodTruck269,0,0,1,1,1,0,0,0,0,0
FoodTruck270,1,0,0,0,1,0,1,0,0,0
FoodTruck271,1,0,0,1,1,0,1,0,1,0
FoodTruck272,0,0,0,1,1,1,1,1,0,0
FoodTruck273,0,1,1,0,0,0,0,0,1,0
FoodTruck274,0,1,1,0,1,0,1,1,1,0
FoodTruck275,1,0,0,0,0,0,1,1,0,0
FoodTruck276,0,1,1,1,1,0,0,0,0,0
FoodTruck277,1,1,0,1,1,1,1,0,1,0
FoodTruck278,1,0,1,1,1,1,1,0,1,0
FoodTruck279,0,1,0,0,1,1,1,0,1,0
FoodTruck280,0,0,0,1,0,1,0,1,0,0
FoodTruck281,1,0,1,1,1,1,0,1,0,0
FoodTruck282,1,0,1,0,0,1,0,1,0,0
FoodTruck283,0,1,1,1,1,0,0,0,1,0
FoodTruck284,0,0,0,0,0,1,1,1,0,0
FoodTruck285,0,0,0,1,1,0,0,0,1,0
FoodTruck286,0,1,1,0,0,0,0,0,1,0
FoodTruck287,0,1,0,1,0,0,1,0,1,0
FoodTruck288,1,1,1,0,0,0,1,0,0,0
FoodTruck289,1,0,0,1,0,1,1,0,0,0
FoodTruck290,0,0,1,0,0,1,1,1,0,0
FoodTruck291,1,0,0,1,1,1,0,0,0,0
FoodTruck292,1,1,1,0,0,1,0,0,1,0
FoodTruck293,1,0,0,1,1,0,1,1,1,0
FoodTruck294,1,0,0,0,1,1,0,1,1,0
FoodTruck295,0,0,1,1,1,0,0,0,0,0
FoodTruck296,1,1,1,0,0,0,0,0,1,0
FoodTruck297,0,0,0,1,1,0,0,1,1,0
FoodTruck298,0,1,0,1,1,0,1,0,1,0
FoodTruck299,0,0,1,0,0,0,1,1,0,0
FoodTruck300,1,0,0,0,1,1,1,0,0,0
FoodTruck301,0,0,0,0,1,0,0,1,0,0
FoodTruck302,1,1,0,0,0,0,0,0,0,0
FoodTruck303,1,1,1,1,1,1,0,0,1,0
FoodTruck304,1,0,1,0,1,1,1,1,0,0
FoodTruck305,1,1,1,1,0,1,0,1,0,0
FoodTruck306,0,1,1,0,0,0,1,1,1,0
FoodTruck307,1,1,0,1,1,1,1,1,0,0
FoodTruck308,1,1,1,1,0,0,1,1,0,0
FoodTruck309,1,0,0,1,0,1,1,0,0,0
FoodTruck310,0,0,0,1,0,0,0,0,0,0
FoodTruck311,1,1,1,0,1,1,1,1,1,0
FoodTruck312,1,1,0,0,1,1,1,0,0,0
FoodTruck313,0,1,1,0,1,0,1,1,0,0
FoodTruck314,0,1,1,0,0,0,1,0,0,0
FoodTruck315,0,0,0,0,0,1,1,1,0,0
FoodTruck316,1,1,1,0,1,1,0,1,1,0
FoodTruck317,0,1,0,1,1,0,0,0,1,0
FoodTruck318,1,0,1,0,1,0,0,0,1,0
FoodTruck319,1,1,1,1,1,0,0,1,0,0
FoodTruck320,0,0,0,0,1,0,0,0,1,0
FoodTruck321,1,0,1,1,1,0,0,1,0,0
FoodTruck322,0,1,0,1,1,0,0,1,0,0
FoodTruck323,0,1,0,1,1,1,0,0,0,0
FoodTruck324,0,1,1,0,1,1,1,0,0,0
FoodTruck325,1,0,1,0,1,0,1,0,1,0
FoodTruck326,0,1,1,1,0,0,1,1,0,0
FoodTruck327,1,1,1,1,1,0,1,0,0,0
FoodTruck328,1,0,1,0,1,0,0,0,1,0
FoodTruck329,1,0,1,0,0,0,1,0,1,0
FoodTruck330,0,0,0,0,0,1,0,0,1,0
FoodTruck331,0,0,1,1,1,0,1,0,0,0
FoodTruck332,1,1,1,0,0,0,0,0,1,0
FoodTruck333,1,1,1,1,0,1,1,1,1,0
FoodTruck334,0,1,0,1,1,0,1,1,1,0
FoodTruck335,1,1,1,1,1,1,0,0,1,0
FoodTruck336,0,1,0,1,0,0,0,0,1,0
FoodTruck337,1,0,1,1,1,1,0,0,0,0
FoodTruck338,0,0,1,0,1,1,1,0,1,0
FoodTruck339,1,1,1,1,1,0,1,0,1,0
FoodTruck340,0,0,1,1,1,0,1,0,0,0
FoodTruck341,0,1,1,1,1,0,0,0,0,0
FoodTruck342,0,1,1,0,0,1,1,0,1,0
FoodTruck343,1,0,0,0,1,0,1,1,0,0
FoodTruck344,1,0,0,0,0,0,0,0,0,0
FoodTruck345,1,1,0,1,0,0,1,1,1,0
FoodTruck346,1,1,1,0,1,1,1,1,0,0
FoodTruck347,0,0,0,1,0,0,0,1,0,0
FoodTruck348,1,0,0,0,0,0,0,0,0,0
FoodTruck349,0,1,1,1,1,1,1,1,1,0
FoodTruck350,1,0,1,1,0,1,0,1,0,0
FoodTruck351,1,1,1,1,0,1,0,1,0,0
FoodTruck352,1,1,1,1,0,0,1,0,1,0
FoodTruck353,1,0,1,0,1,0,0,0,1,0
FoodTruck354,1,1,1,1,1,0,0,1,1,0
FoodTruck355,0,1,0,1,0,1,1,0,1,0
FoodTruck356,0,0,0,0,1,1,1,0,0,0
FoodTruck357,1,0,1,0,0,0,1,0,1,0
FoodTruck358,1,1,0,0,0,0,1,1,0,0
FoodTruck359,0,0,1,1,1,0,1,0,1,0
FoodTruck360,1,1,0,1,1,0,0,1,1,0
FoodTruck361,1,1,1,0,1,1,1,0,0,0
FoodTruck362,0,1,1,1,0,0,0,0,1,0
FoodTruck363,0,1,0,1,1,1,1,1,0,0
FoodTruck364,0,1,0,0,1,0,0,0,1,0
FoodTruck365,0,0,1,1,0,0,0,0,1,0
FoodTruck366,0,0,1,0,0,0,1,0,1,0
FoodTruck367,1,0,1,1,0,0,1,1,1,0
FoodTruck368,0,1,0,1,1,0,1,0,1,0
FoodTruck369,0,0,1,1,1,1,0,1,1,0
FoodTruck370,0,0,1,0,1,0,1,1,1,0
FoodTruck371,1,0,0,0,0,1,0,0,0,0
FoodTruck372,0,0,0,0,1,1,1,1,0,0
FoodTruck373,1,1,0,1,0,1,0,0,1,0
FoodTruck374,0,0,1,0,1,0,0,1,1,0
FoodTruck375,1,1,0,1,1,0,0,1,0,0
FoodTruck376,0,1,1,0,1,0,1,1,0,0
FoodTruck377,1,0,1,1,1,1,1,1,1,0
FoodTruck378,1,1,0,0,1,0,0,1,1,0
FoodTruck379,1,1,0,0,0,1,0,0,0,0
FoodTruck380,1,0,0,1,0,0,1,0,0,0
FoodTruck381,0,1,0,1,0,0,1,1,0,0
FoodTruck382,1,0,0,0,0,0,1,1,0,0
FoodTruck383,1,1,0,1,0,0,0,0,1,0
FoodTruck384,1,0,1,1,0,1,0,1,1,0
FoodTruck385,1,1,0,1,0,1,1,0,1,0
FoodTruck386,0,1,1,0,0,0,0,0,1,0
FoodTruck387,1,1,0,1,1,1,1,1,0,0
FoodTruck388,0,1,0,1,1,0,0,0,1,0
FoodTruck389,1,0,0,1,1,0,0,1,1,0
FoodTruck390,1,0,1,0,1,1,0,1,0,0
FoodTruck391,1,0,0,1,0,0,0,1,0,0
FoodTruck392,0,1,0,1,0,0,0,0,1,0
FoodTruck393,0,1,1,0,1,0,0,1,1,0
FoodTruck394,1,1,1,0,0,1,0,0,0,0
FoodTruck395,0,0,1,0,1,0,1,1,1,0
FoodTruck396,0,0,1,0,1,1,1,1,1,0
FoodTruck397,0,1,1,0,1,1,0,1,0,0
FoodTruck398,1,1,1,1,0,1,1,0,0,0
FoodTruck399,1,0,0,1,0,0,1,0,1,0
FoodTruck400,0,1,0,1,0,0,1,0,0,0
FoodTruck401,1,0,1,1,0,0,1,0,0,0
FoodTruck402,0,1,0,0,0,0,0,1,0,0
FoodTruck403,1,0,1,1,0,0,0,1,1,0
FoodTruck404,0,1,1,1,1,0,0,1,1,0
FoodTruck405,0,1,1,0,0,0,1,1,0,0
FoodTruck406,0,0,0,0,0,0,0,1,1,0
FoodTruck407,0,1,0,1,1,0,0,1,1,0
FoodTruck408,0,0,1,1,0,0,1,1,0,0
FoodTruck409,0,0,0,1,0,1,0,0,1,0
FoodTruck410,0,0,1,1,1,0,0,0,0,0
FoodTruck411,1,0,0,1,0,1,1,0,0,0
FoodTruck412,1,1,0,0,1,1,1,0,0,0
FoodTruck413,0,1,1,0,0,0,1,0,0,0
FoodTruck414,0,0,1,1,1,1,1,0,1,0
FoodTruck415,1,1,1,1,1,0,1,0,0,0
FoodTruck416,0,0,1,0,0,0,0,0,1,0
FoodTruck417,1,0,1,0,1,0,1,0,1,0
FoodTruck418,1,1,1,1,1,1,0,0,1,0
FoodTruck419,1,0,0,1,1,1,0,0,0,0
FoodTruck420,1,1,1,1,0,0,0,0,1,0
FoodTruck421,1,0,0,0,0,1,0,0,1,0
FoodTruck422,0,0,1,1,1,1,1,1,0,0
FoodTruck423,1,1,1,1,1,0,1,0,1,0
FoodTruck424,1,1,1,1,0,1,1,1,0,0
FoodTruck425,1,0,1,1,1,0,1,0,0,0
FoodTruck426,0,1,1,1,1,0,1,0,1,0
FoodTruck427,1,0,1,1,0,0,1,0,1,0
FoodTruck428,1,1,1,0,0,0,1,0,1,0
FoodTruck429,1,0,0,1,0,1,0,0,0,0
FoodTruck430,0,1,0,1,0,1,0,0,1,0
FoodTruck431,0,0,0,0,1,0,1,0,1,0
FoodTruck432,0,1,0,0,0,1,1,0,1,0
FoodTruck433,0,1,1,0,0,1,0,1,0,0
FoodTruck434,0,0,0,0,1,1,1,0,1,0
FoodTruck435,1,1,1,0,0,1,1,1,0,0
FoodTruck436,0,1,0,0,0,1,0,0,0,0
FoodTruck437,1,1,0,1,1,1,0,0,1,0
FoodTruck438,1,0,0,0,1,0,0,0,1,0
FoodTruck439,0,0,0,1,1,1,0,1,0,0
FoodTruck440,0,1,1,0,0,0,1,1,0,0
FoodTruck441,1,0,0,1,0,1,1,0,0,0
FoodTruck442,1,1,1,1,1,1,1,1,1,0
FoodTruck443,1,1,0,1,1,1,1,1,1,0
FoodTruck444,1,1,0,0,0,0,1,0,0,0
FoodTruck445,1,1,0,1,1,0,0,1,1,0
FoodTruck446,0,1,1,0,1,0,1,0,1,0
FoodTruck447,1,1,1,0,1,0,1,0,0,0
FoodTruck448,0,1,0,1,1,0,1,0,1,0
FoodTruck449,1,0,1,1,1,1,1,0,0,0
FoodTruck450,0,0,0,0,0,0,1,0,0,0
FoodTruck451,0,0,1,0,1,0,0,0,0,0
FoodTruck452,0,1,1,0,0,0,0,1,0,0
FoodTruck453,1,0,0,0,1,1,0,1,1,0
FoodTruck454,1,0,0,1,1,1,1,0,1,0
FoodTruck455,0,0,1,1,0,0,1,1,1,0
FoodTruck456,1,0,0,1,0,0,1,0,1,0
FoodTruck457,1,1,1,1,0,0,0,0,0,0
FoodTruck458,0,0,1,0,0,0,0,1,1,0
FoodTruck459,0,0,1,0,0,1,1,0,1,0
FoodTruck460,1,1,0,1,1,1,0,0,1,0
FoodTruck461,1,0,0,0,1,0,0,0,0,0
FoodTruck462,0,0,1,1,0,1,0,1,1,0
FoodTruck463,0,0,0,1,1,1,0,1,0,0
FoodTruck464,1,0,0,0,1,0,0,1,0,0
FoodTruck465,1,0,0,0,0,0,1,0,0,0
FoodTruck466,1,1,1,1,0,1,0,0,0,0
FoodTruck467,0,0,0,0,0,0,0,1,1,0
FoodTruck468,1,0,0,1,1,0,0,1,0,0
FoodTruck469,0,1,1,0,0,1,1,0,0,0
FoodTruck470,0,0,0,0,1,1,1,0,0,0
FoodTruck471,0,0,0,0,0,1,1,0,0,0
FoodTruck472,0,0,1,0,1,1,0,0,1,0
FoodTruck473,1,1,1,1,0,0,1,1,1,0
FoodTruck474,0,0,1,1,0,1,1,1,0,0
FoodTruck475,0,1,1,0,1,0,0,0,1,0
FoodTruck476,0,1,1,0,1,1,1,1,0,0
FoodTruck477,1,0,0,1,0,0,0,1,0,0
FoodTruck478,1,0,1,1,1,1,1,1,0,0
FoodTruck479,1,0,0,0,1,1,0,0,1,0
FoodTruck480,1,1,0,1,1,1,1,0,0,0
FoodTruck481,1,0,1,0,0,1,1,1,0,0
FoodTruck482,0,0,0,0,0,0,1,1,1,0
FoodTruck483,0,1,0,0,0,0,1,0,1,0
FoodTruck484,1,1,1,1,0,1,0,0,0,0
FoodTruck485,1,1,0,1,1,1,1,0,0,0
FoodTruck486,1,0,1,0,0,0,0,0,0,0
FoodTruck487,1,0,0,0,1,0,0,1,0,0
FoodTruck488,0,1,1,1,0,1,1,1,0,0
FoodTruck489,1,1,0,1,0,1,1,0,0,0
FoodTruck490,0,0,1,1,0,1,0,0,0,0
FoodTruck491,0,1,1,0,0,1,0,0,0,0
